"","name_","integer_","total_","na_count_","median_","min_","max_","stain","mutuality"
"122","nonborder_intensity_nucleus_alexa488_mean_median","FALSE","8216","96","546","206","5380",NA,"FALSE"
"123","nonborder_intensity_cell_mitotrackerdeepred_mean_median","FALSE","8216","96","2970","405","41700",NA,"FALSE"
"124","nonborder_nucleus_hoechst_ser_spot_1px_median","FALSE","8216","96","0.0194","0.00309","0.0544",NA,"FALSE"
"125","nonborder_nucleus_hoechst_ser_hole_1px_median","FALSE","8216","96","0.00352","0","0.00885",NA,"FALSE"
"126","nonborder_nucleus_hoechst_ser_edge_1px_median","FALSE","8216","96","0.181","0.073","0.351",NA,"FALSE"
"127","nonborder_nucleus_hoechst_ser_ridge_1px_median","FALSE","8216","96","0.0254","0.00972","0.0722",NA,"FALSE"
"128","nonborder_nucleus_hoechst_ser_valley_1px_median","FALSE","8216","96","0.0339","0.00742","0.0595",NA,"FALSE"
"129","nonborder_nucleus_hoechst_ser_saddle_1px_median","FALSE","8216","96","0.0477","0.0071","0.0861",NA,"FALSE"
"130","nonborder_nucleus_hoechst_ser_bright_1px_median","FALSE","8216","96","0.0394","0.0136","0.0916",NA,"FALSE"
"131","nonborder_nucleus_hoechst_ser_dark_1px_median","FALSE","8216","96","0.0325","0.00772","0.0588",NA,"FALSE"
"132","nonborder_nucleus_alexa488_ser_spot_1px_median","FALSE","8216","96","0.013","0.00575","0.0322",NA,"FALSE"
"133","nonborder_nucleus_alexa488_ser_hole_1px_median","FALSE","8216","96","0.00598","0.00128","0.0127",NA,"FALSE"
"134","nonborder_nucleus_alexa488_ser_edge_1px_median","FALSE","8216","96","0.0825","0.0187","0.292",NA,"FALSE"
"135","nonborder_nucleus_alexa488_ser_ridge_1px_median","FALSE","8216","96","0.0189","0.00865","0.0382",NA,"FALSE"
"136","nonborder_nucleus_alexa488_ser_valley_1px_median","FALSE","8216","96","0.0189","0.00688","0.081",NA,"FALSE"
"137","nonborder_nucleus_alexa488_ser_saddle_1px_median","FALSE","8216","96","0.0234","0.009","0.0661",NA,"FALSE"
"138","nonborder_nucleus_alexa488_ser_bright_1px_median","FALSE","8216","96","0.0279","0.0126","0.0576",NA,"FALSE"
"139","nonborder_nucleus_alexa488_ser_dark_1px_median","FALSE","8216","96","0.0221","0.00903","0.0743",NA,"FALSE"
"140","nonborder_cell_mitotrackerdeepred_ser_spot_1px_median","FALSE","8216","96","0.0149","0.00388","0.0381",NA,"FALSE"
"141","nonborder_cell_mitotrackerdeepred_ser_hole_1px_median","FALSE","8216","96","0.00824","0.000471","0.0236",NA,"FALSE"
"142","nonborder_cell_mitotrackerdeepred_ser_edge_1px_median","FALSE","8216","96","0.119","0.0166","0.449",NA,"FALSE"
"143","nonborder_cell_mitotrackerdeepred_ser_ridge_1px_median","FALSE","8216","96","0.0265","0.00658","0.066",NA,"FALSE"
"144","nonborder_cell_mitotrackerdeepred_ser_valley_1px_median","FALSE","8216","96","0.0257","0.00518","0.146",NA,"FALSE"
"145","nonborder_cell_mitotrackerdeepred_ser_saddle_1px_median","FALSE","8216","96","0.0292","0.00779","0.0983",NA,"FALSE"
"146","nonborder_cell_mitotrackerdeepred_ser_bright_1px_median","FALSE","8216","96","0.0365","0.00905","0.0829",NA,"FALSE"
"147","nonborder_cell_mitotrackerdeepred_ser_dark_1px_median","FALSE","8216","96","0.0302","0.00654","0.135",NA,"FALSE"
"148","nonborder_regression_a_b_median","FALSE","8216","96","-1.25","-6.03","1.59",NA,"FALSE"
"149","nonborder_infocus_median","TRUE","8216","96","1","0","1",NA,"FALSE"
"150","nonborder_outfocus_median","TRUE","8216","96","0","0","1",NA,"FALSE"
"151","nuclei_numberofobjects","TRUE","8216","55","105","0","8290","hoescht","TRUE"
"152","multi_nucleated_cells_numberofobjects","TRUE","8216","55","99","0","7980","hoescht","TRUE"
"153","multi_nucleated_cells_number_of_nuclei_mean","FALSE","8216","120","1.01","0.667","1.67","hoescht","TRUE"
"154","multi_nucleated_cells_number_of_nuclei_stdev","FALSE","8216","169","0.105","0","1.34","hoescht","TRUE"
"155","spots_relative_spot_intensity_mean","FALSE","8216","286","0.58","0.332","0.834","h2ax","TRUE"
"156","spots_relative_spot_intensity_stdev","FALSE","8216","412","0.0794","0.000167","0.248","h2ax","TRUE"
"157","spots_corrected_spot_intensity_mean","FALSE","8216","286","899","470","20200","h2ax","TRUE"
"158","spots_corrected_spot_intensity_stdev","FALSE","8216","412","486","0.329","5460","h2ax","TRUE"
"159","spots_uncorrected_spot_peak_intensity_mean","FALSE","8216","286","1800","760","43000","h2ax","TRUE"
"160","spots_uncorrected_spot_peak_intensity_stdev","FALSE","8216","412","1020","3.54","9950","h2ax","TRUE"
"161","spots_spot_contrast_mean","FALSE","8216","286","0.453","0.216","0.846","h2ax","TRUE"
"162","spots_spot_contrast_stdev","FALSE","8216","412","0.114","0.000175","0.307","h2ax","TRUE"
"163","spots_spot_background_intensity_mean","FALSE","8216","286","630","278","5440","h2ax","TRUE"
"164","spots_spot_background_intensity_stdev","FALSE","8216","412","188","0.0866","2910","h2ax","TRUE"
"165","spots_spot_area_px2_mean","FALSE","8216","286","8.7","1","263",NA,"TRUE"
"166","spots_spot_area_px2_stdev","FALSE","8216","412","24.9","0","270",NA,"TRUE"
"167","spots_region_intensity_mean","FALSE","8216","286","903","341","20100","h2ax","TRUE"
"168","spots_region_intensity_stdev","FALSE","8216","412","356","0","6360","h2ax","TRUE"
"169","spots_spot_to_region_intensity_mean","FALSE","8216","286","1.78","1.23","8.16","h2ax","TRUE"
"170","spots_spot_to_region_intensity_stdev","FALSE","8216","412","0.488","0.00543","8","h2ax","TRUE"
"171","h2axpositive_numberofobjects","TRUE","8216","55","8","0","488","h2ax","TRUE"
"172","h2axpositive_intensity_nucleus_alexa488_mean_mean","FALSE","8216","1035","1490","449","20100","h2ax","TRUE"
"173","h2axpositive_intensity_nucleus_alexa488_mean_stdev","FALSE","8216","1722","623","0.636","11300","h2ax","TRUE"
"174","h2axpositive_intensity_cell_mitotrackerdeepred_mean_mean","FALSE","8216","1035","3820","663","52600","mito","TRUE"
