Individual, Viable_read , Viable_per ,Seeding_quant,,,
8442," 564,000.00 "," 1,128,000.00 ",118.2,,,
8454," 355,000.00 "," 710,000.00 ",187.8,,,
8426," 478,000.00 "," 956,000.00 ",139.5,,,
8422," 401,000.00 "," 802,000.00 ",166.3,,,
8465," 79,600.00 "," 159,200.00 ",837.5,,,
8462," 212,000.00 "," 424,000.00 ",314.5,,,
8434," 982,000.00 "," 1,964,000.00 ",67.9,,,
8450," 479,000.00 "," 958,000.00 ",139.2,,,
8446," 156,000.00 "," 312,000.00 ",427.4,,,
8458," 610,000.00 "," 1,220,000.00 ",109.3,,,
8430," 335,000.00 "," 670,000.00 ",199.0,,,
528," 117,000.00 "," 234,000.00 ",569.8,11/3/20,,
5322," 197,000.00 "," 394,000.00 ",338.4,,,
  ," 103,000.00 "," 206,000.00 ",647.2,,,
5613," 426,000.00 "," 852,000.00 ",156.5,,,
2109," 82,400.00 "," 164,800.00 ",809.1,,,
11_20," 209,000.00 "," 418,000.00 ",319.0,,,
1842," 52,600.00 "," 105,200.00 ",1267.4,,,
5289," 23,800.00 "," 47,600.00 ",2801.1,,,
587," 205,000.00 "," 410,000.00 ",325.2,,,
1857," 266,000.00 "," 532,000.00 ",250.6,,,
2397," 352,000.00 "," 704,000.00 ",189.4,,,
2284, 1.00 , 1.00 ,133333333.3,,,
